node_id,node_type,label,embedding_id,created,last_seen,metadata
context:3aec8443,context,Testing MCP server integration,emb:context:3aec8443,2026-02-01T23:54:14.058043Z,2026-02-01T23:54:14.058043Z,{}
file:mcp_server_fixed.py,file,mcp_server_fixed.py,,2026-02-01T23:54:14.058187Z,2026-02-01T23:54:14.058187Z,{}
file:autograph_manager.py,file,autograph_manager.py,,2026-02-01T23:54:14.058314Z,2026-02-01T23:54:14.058314Z,{}
context:a2dfc6fa,context,testing postgresql pgvector migration,emb:context:a2dfc6fa,2026-05-19T09:10:48.323457Z,2026-05-19T09:10:48.323457Z,{}
file:backfill_embeddings.py,file,backfill_embeddings.py,,2026-05-19T09:10:48.323860Z,2026-05-19T09:10:48.323860Z,{}
context:32c380ee,context,verifying all 12 file-metadata MCP tools after PostgreSQL migration,emb:context:32c380ee,2026-05-19T09:20:37.242618Z,2026-05-19T09:20:37.242618Z,{}
file:migrate_sqlite_to_pg.py,file,migrate_sqlite_to_pg.py,,2026-05-19T09:20:37.242992Z,2026-05-19T09:20:37.242992Z,{}
